control_id,control_description,m365_workload,graph_or_ps_reference,framework,framework_ref,coverage_type,evidence_artefact,notes
m365.entra.ca.mfa-phishing-resistant,CA requires phishing-resistant MFA for admins,entra,/identity/conditionalAccess/policies + authenticationStrength,cis-m365,5.2.2.5,primary,ca.policies.mfa-phishing-resistant.json,CIS L2; admin scope. Broaden to all users for stricter posture.
m365.entra.ca.mfa-phishing-resistant,CA requires phishing-resistant MFA for admins,entra,/identity/conditionalAccess/policies + authenticationStrength,dora,Art 9(2)(d),primary,ca.policies.mfa-phishing-resistant.json,RTS 2024/1774 Art 20-21 logical access control
m365.entra.ca.mfa-phishing-resistant,CA requires phishing-resistant MFA for admins,entra,/identity/conditionalAccess/policies + authenticationStrength,nis2,Art 21(2)(j),primary,ca.policies.mfa-phishing-resistant.json,MFA / secure authentication
m365.entra.ca.mfa-phishing-resistant,CA requires phishing-resistant MFA for admins,entra,/identity/conditionalAccess/policies + authenticationStrength,hipaa,§164.312(d),primary,ca.policies.mfa-phishing-resistant.json,Posture already matches expected NPRM MFA mandate
m365.entra.ca.mfa-all-users,CA requires MFA for all users,entra,/identity/conditionalAccess/policies,cis-m365,5.2.2.2,primary,ca.policies.mfa-all-users.json,L1
m365.entra.ca.mfa-all-users,CA requires MFA for all users,entra,/identity/conditionalAccess/policies,dora,Art 9(2)(d),primary,ca.policies.mfa-all-users.json,
m365.entra.ca.mfa-all-users,CA requires MFA for all users,entra,/identity/conditionalAccess/policies,nis2,Art 21(2)(j),primary,ca.policies.mfa-all-users.json,
m365.entra.ca.mfa-all-users,CA requires MFA for all users,entra,/identity/conditionalAccess/policies,hipaa,§164.312(d),primary,ca.policies.mfa-all-users.json,
m365.entra.ca.block-legacy-auth,CA blocks legacy authentication,entra,/identity/conditionalAccess/policies clientAppTypes,cis-m365,5.2.2.3,primary,ca.policies.block-legacy-auth.json,L1; check sign-in logs for legacy usage first
m365.entra.ca.block-legacy-auth,CA blocks legacy authentication,entra,/identity/conditionalAccess/policies clientAppTypes,dora,Art 9(2)(e),partial,ca.policies.block-legacy-auth.json,Pair with TLS enforcement
m365.entra.ca.block-legacy-auth,CA blocks legacy authentication,entra,/identity/conditionalAccess/policies clientAppTypes,nis2,Art 21(2)(e),partial,ca.policies.block-legacy-auth.json,Contributes to secure acquisition/maintenance
m365.entra.ca.block-legacy-auth,CA blocks legacy authentication,entra,/identity/conditionalAccess/policies clientAppTypes,hipaa,§164.312(e),partial,ca.policies.block-legacy-auth.json,Transmission security
m365.entra.ca.identity-protection-risk,Identity Protection sign-in + user risk policies,entra,/identity/conditionalAccess/policies signInRiskLevels userRiskLevels,cis-m365,5.2.2.6,primary,ca.policies.identity-protection.json,L1 user risk policy
m365.entra.ca.identity-protection-risk,Identity Protection sign-in + user risk policies,entra,/identity/conditionalAccess/policies signInRiskLevels userRiskLevels,cis-m365,5.2.2.7,primary,ca.policies.identity-protection.json,L1 sign-in risk policy
m365.entra.ca.identity-protection-risk,Identity Protection sign-in + user risk policies,entra,/identity/conditionalAccess/policies signInRiskLevels userRiskLevels,dora,Art 10,primary,ca.policies.identity-protection.json,Detection layer
m365.entra.ca.identity-protection-risk,Identity Protection sign-in + user risk policies,entra,/identity/conditionalAccess/policies signInRiskLevels userRiskLevels,nis2,Art 21(2)(b),partial,ca.policies.identity-protection.json,Incident handling detection
m365.entra.ca.managed-device-required,CA requires managed device for authentication,entra,/identity/conditionalAccess/policies grantControls,cis-m365,5.2.2.9,primary,ca.policies.managed-device.json,L1
m365.entra.ca.managed-device-required,CA requires managed device for authentication,entra,/identity/conditionalAccess/policies grantControls,dora,Art 9(2)(f),primary,ca.policies.managed-device.json,Secure remote access
m365.entra.ca.managed-device-required,CA requires managed device for authentication,entra,/identity/conditionalAccess/policies grantControls,nis2,Art 21(2)(i),partial,ca.policies.managed-device.json,Access control policies
m365.entra.ca.managed-device-required,CA requires managed device for authentication,entra,/identity/conditionalAccess/policies grantControls,hipaa,§164.310(c),partial,ca.policies.managed-device.json,Workstation security
m365.entra.pim.just-in-time,PIM JIT for privileged roles,entra,/roleManagement/directory/roleAssignmentSchedulePolicies,cis-m365,5.3.1,primary,pim.roleSchedulePolicies.json,L2; requires Entra ID P2
m365.entra.pim.just-in-time,PIM JIT for privileged roles,entra,/roleManagement/directory/roleAssignmentSchedulePolicies,cis-m365,5.3.4,partial,pim.roleSchedulePolicies.json,L1 - approval required for GA activation
m365.entra.pim.just-in-time,PIM JIT for privileged roles,entra,/roleManagement/directory/roleAssignmentSchedulePolicies,cis-m365,5.3.5,partial,pim.roleSchedulePolicies.json,L1 - approval required for Privileged Role Admin
m365.entra.pim.just-in-time,PIM JIT for privileged roles,entra,/roleManagement/directory/roleAssignmentSchedulePolicies,dora,Art 9(2)(d),partial,pim.roleSchedulePolicies.json,Pair with role-scoped admin units
m365.entra.pim.just-in-time,PIM JIT for privileged roles,entra,/roleManagement/directory/roleAssignmentSchedulePolicies,nis2,Art 21(2)(i),partial,pim.roleSchedulePolicies.json,Access control policies; pair with access reviews
m365.entra.pim.just-in-time,PIM JIT for privileged roles,entra,/roleManagement/directory/roleAssignmentSchedulePolicies,hipaa,§164.308(a)(4),partial,pim.roleSchedulePolicies.json,Information access management
m365.entra.access-reviews.privileged,Access Reviews for privileged roles,entra,/identityGovernance/accessReviews/definitions,cis-m365,5.3.3,primary,accessReviews.privileged.json,L1
m365.entra.access-reviews.privileged,Access Reviews for privileged roles,entra,/identityGovernance/accessReviews/definitions,dora,Art 9(2)(d),partial,accessReviews.privileged.json,Periodic re-verification of access
m365.entra.access-reviews.privileged,Access Reviews for privileged roles,entra,/identityGovernance/accessReviews/definitions,nis2,Art 21(2)(i),primary,accessReviews.privileged.json,Privilege review cadence
m365.entra.access-reviews.privileged,Access Reviews for privileged roles,entra,/identityGovernance/accessReviews/definitions,hipaa,§164.308(a)(4)(ii)(C),primary,accessReviews.privileged.json,Access establishment and modification
m365.entra.admin-cloud-only,Administrative accounts are cloud-only,entra,Convention + Get-MgUser filter,cis-m365,1.1.1,primary,admin.accounts.cloud-only.json,L1; tier-0 admin hygiene
m365.entra.admin-cloud-only,Administrative accounts are cloud-only,entra,Convention + Get-MgUser filter,dora,Art 9(4)(f),partial,admin.accounts.cloud-only.json,Business-function level access
m365.entra.break-glass.defined,Two emergency access accounts defined,entra,Convention + break-glass group,cis-m365,1.1.2,primary,break-glass.group.json,L1 - break-glass hygiene
m365.entra.break-glass.defined,Two emergency access accounts defined,entra,Convention + break-glass group,dora,Art 11,partial,break-glass.group.json,Response and recovery prep
m365.entra.break-glass.monitored,Emergency access account activity is monitored,entra,Alert policies + SIEM,cis-m365,2.2.1,primary,break-glass.monitoring.json,L1
m365.entra.admin-count-2-to-4,Between 2 and 4 global admins designated,entra,Get-MgDirectoryRoleMember,cis-m365,1.1.3,primary,globalAdmins.count.json,L1
m365.entra.auth-methods.fatigue-protect,Authenticator number match + geo context,entra,/policies/authenticationMethodsPolicy/authenticationMethodConfigurations/MicrosoftAuthenticator,cis-m365,5.2.3.1,primary,auth-methods.microsoftauthenticator.json,L1
m365.entra.auth-methods.weak-disabled,Weak authentication methods disabled,entra,/policies/authenticationMethodsPolicy,cis-m365,5.2.3.5,primary,auth-methods.weak-disabled.json,L1 - SMS/Voice/email OTP disabled
m365.entra.auth-methods.weak-disabled,Weak authentication methods disabled,entra,/policies/authenticationMethodsPolicy,dora,Art 9(2)(d),partial,auth-methods.weak-disabled.json,Logical access control
m365.entra.auth-methods.weak-disabled,Weak authentication methods disabled,entra,/policies/authenticationMethodsPolicy,nis2,Art 21(2)(j),primary,auth-methods.weak-disabled.json,Secure authentication
m365.entra.auth-methods.weak-disabled,Weak authentication methods disabled,entra,/policies/authenticationMethodsPolicy,hipaa,§164.312(d),primary,auth-methods.weak-disabled.json,Person/entity authentication
m365.entra.password-protection.banned-list,Custom banned password list,entra,/policies/authenticationMethodsPolicy (legacy: AAD Password Protection),cis-m365,5.2.3.2,primary,password-protection.json,L1
m365.entra.tenant-creation-restricted,Restrict non-admin users from creating tenants,entra,/policies/authorizationPolicy.defaultUserRolePermissions.allowedToCreateTenants,cis-m365,5.1.2.3,primary,authorizationPolicy.json,L1
m365.entra.user-consent.restricted,User consent to apps not allowed,entra,/policies/authorizationPolicy.defaultUserRolePermissions.permissionGrantPoliciesAssigned,cis-m365,5.1.5.1,primary,consent.policy.json,L2
m365.entra.admin-consent-workflow,Admin consent workflow enabled,entra,/policies/adminConsentRequestPolicy,cis-m365,5.1.5.2,primary,adminConsentWorkflow.json,L1
m365.entra.guest-restricted,Guest user access restricted,entra,/policies/authorizationPolicy.guestUserRoleId,cis-m365,5.1.6.2,primary,guest.access.json,L1
m365.entra.guest-restricted,Guest user access restricted,entra,/policies/authorizationPolicy.guestUserRoleId,dora,Art 9(4)(f),partial,guest.access.json,
m365.entra.guest-restricted,Guest user access restricted,entra,/policies/authorizationPolicy.guestUserRoleId,nis2,Art 21(2)(d),partial,guest.access.json,Supply chain - partner access boundary
m365.exchange.smtp-auth-disabled,SMTP AUTH disabled tenant-wide,exchange,Set-TransportConfig SmtpClientAuthenticationDisabled,cis-m365,6.5.4,primary,exchange.transportConfig.json,L1
m365.exchange.smtp-auth-disabled,SMTP AUTH disabled tenant-wide,exchange,Set-TransportConfig SmtpClientAuthenticationDisabled,dora,Art 9(2)(e),partial,exchange.transportConfig.json,
m365.exchange.smtp-auth-disabled,SMTP AUTH disabled tenant-wide,exchange,Set-TransportConfig SmtpClientAuthenticationDisabled,nis2,Art 21(2)(e),partial,exchange.transportConfig.json,
m365.exchange.modern-auth,Modern authentication for Exchange Online,exchange,Get-OrganizationConfig OAuth2ClientProfileEnabled,cis-m365,6.5.1,primary,exchange.organizationConfig.json,L1
m365.exchange.mail-forwarding-blocked,All forms of mail forwarding blocked,exchange,Get-HostedOutboundSpamFilterPolicy + Get-RemoteDomain + Get-TransportRule,cis-m365,6.2.1,primary,exchange.forwarding.json,L1 - critical exfil control
m365.exchange.mail-forwarding-blocked,All forms of mail forwarding blocked,exchange,Get-HostedOutboundSpamFilterPolicy + Get-RemoteDomain + Get-TransportRule,dora,Art 9(2)(c),partial,exchange.forwarding.json,Confidentiality protection
m365.exchange.mail-forwarding-blocked,All forms of mail forwarding blocked,exchange,Get-HostedOutboundSpamFilterPolicy + Get-RemoteDomain + Get-TransportRule,nis2,Art 21(2)(a),partial,exchange.forwarding.json,Info system security policy
m365.exchange.mail-forwarding-blocked,All forms of mail forwarding blocked,exchange,Get-HostedOutboundSpamFilterPolicy + Get-RemoteDomain + Get-TransportRule,hipaa,§164.312(e),primary,exchange.forwarding.json,Transmission security
m365.exchange.dkim,DKIM enabled for all Exchange domains,exchange,Get-DkimSigningConfig,cis-m365,2.1.9,primary,exchange.dkim.json,L1 - emits external DNS records required
m365.exchange.dmarc,DMARC records published for all domains,exchange,External DNS (verify),cis-m365,2.1.10,partial,exchange.dmarc.json,L1 - tenant-side verification only; DNS is external
m365.exchange.spf,SPF records published for all Exchange domains,exchange,External DNS (verify),cis-m365,2.1.8,partial,exchange.spf.json,L1 - DNS is external
m365.exchange.anti-phish-policy,Anti-phishing policy created,exchange,Get-AntiPhishPolicy,cis-m365,2.1.7,primary,defender.anti-phish.json,L1 - Defender for O365
m365.exchange.safe-links,Safe Links for Office Applications enabled,exchange,Get-SafeLinksPolicy,cis-m365,2.1.1,primary,defender.safe-links.json,L2 - DfO P1
m365.exchange.safe-attachments,Safe Attachments policy enabled,exchange,Get-SafeAttachmentPolicy,cis-m365,2.1.4,primary,defender.safe-attachments.json,L2 - DfO P1
m365.exchange.safe-attachments,Safe Attachments policy enabled,exchange,Get-SafeAttachmentPolicy,dora,Art 9(2)(b),partial,defender.safe-attachments.json,Minimisation of impact
